Size,Delta_Ct
J1,0.003185196
J1,0.004160648
J1,7.87E-04
J1,0.002420372
J1,0.002524023
J2,0.000304831
J2,0.00066125
J2,0.003503354
J2,7.81E-05
J2,0.001024783
A1,0.002819538
A1,1.01E-04
A1,0.000388162
A1,2.00E-04
A1,0.001552587
A2,0.002922467
A2,2.88E-04
A2,0.000611473
A2,0.002698285
A2,0.000595505
