Size,Delta_Ct
J1,0.03573503
J1,0.02025585
J1,0.013975434
J1,0.039042704
J1,0.02921096
J2,0.02036755
J2,0.016881014
J2,0.021408597
J2,0.008211793
J2,0.009922931
A1,0.030180661
A1,0.023964274
A1,0.021814122
A1,0.027190572
A1,0.029683306
A2,0.032959056
A2,0.047540546
A2,0.014220368
A2,0.010322919
A2,0.039936183
