Tissue,Delta_Ct
HF,0.18954488
HF,0.183145377
HF,0.171375384
HF,0.185142673
HF,0.332939597
AG,0.279172894
AG,0.312497523
AG,0.52248745
AG,0.190812744
AG,0.141871173
HP/DG,0.800049778
HP/DG,0.122949498
HP/DG,0.267710789
HP/DG,0.495442071
HP/DG,0.192497867
OV,1.700329074
OV,1.477079058
OV,0.873208367
OV,0.889818104
OV,0.848371693
T,0.237449043
T,0.13576072
T,0.185887618
T,0.13964793
T,0.153306747
