Tissue,Delta_Ct
HF,0.110922458
HF,0.140870376
HF,0.137143837
HF,0.140999756
HF,0.181463266
AG,0.121889695
AG,0.123009347
AG,0.187968856
AG,0.099842426
AG,0.097654702
HP/DG,0.275936617
HP/DG,0.260123604
HP/DG,0.289744904
HP/DG,0.241802392
HP/DG,0.250395707
OV,0.417077095
OV,0.292823111
OV,0.230802396
OV,0.217328057
OV,0.230432903
T,0.140538382
T,0.078640776
T,0.245088954
T,0.109798643
T,0.108075062
